Url;Nombre;Precio
https://www.redbubble.com/es/i/camiseta/Absolutamente-asqueroso-de-DashNet/11205453.7H7A9.XYZ;Absolutamente asqueroso Camiseta clásica;16,24 €
https://www.redbubble.com/es/i/camiseta/La-galleta-perfecta-de-DashNet/11205966.7H7A9.XYZ;La galleta perfecta Camiseta clásica;16,24 €
https://www.redbubble.com/es/i/sudadera-capucha/Galletas-y-bizcochos-de-DashNet/11205190.31YUG.XYZ;Galletas y bizcochos Sudadera con capucha;45,83 €
